Index,Date,Time,Counter,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Axial Strain (%),Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd,,Derivatives
2634,44655.40491,658.522853,58351896,0.406735,-0.925906,-0.918008,22.2191,0.158922,0.597595,0.198868,0.00198868,-0.000186,0.198681,0.00198681,-0.922221,,4344.028329
2635,44655.40491,658.772853,58351896,0.388573,-0.92611,-0.918008,22.218952,0.158315,0.576493,0.198879,0.00198879,-0.00028,0.198599,0.00198599,-0.922162,,4487.375943
2636,44655.40492,659.022853,58351896,0.409925,-0.925924,-0.917515,22.219026,0.158979,0.586625,0.19896,0.0019896,-0.000373,0.198494,0.00198494,-0.921905,,4469.919017
2637,44655.40492,659.272853,58351896,0.41965,-0.92576,-0.917515,22.219026,0.159422,0.603262,0.199326,0.00199326,-0.00028,0.199046,0.00199046,-0.921588,,4361.308236
2638,44655.40492,659.522853,58351897,0.426404,-0.925729,-0.917482,22.219173,0.159553,0.609568,0.199402,0.00199402,-0.00028,0.199029,0.00199029,-0.921587,,4377.404832
2639,44655.40493,659.772853,58351897,0.43848,-0.925578,-0.91689,22.218952,0.159947,0.622305,0.199788,0.00199788,-0.000373,0.199415,0.00199415,-0.921265,,4404.228354
2640,44655.40493,660.022853,58351897,0.435569,-0.925461,-0.91689,22.2191,0.160318,0.63436,0.1999,0.001999,-0.00028,0.199713,0.00199713,-0.921067,,4433.238035
2641,44655.40493,660.272853,58351897,0.460746,-0.925115,-0.916233,22.219026,0.161366,0.668083,0.200734,0.00200734,-0.000373,0.200319,0.00200319,-0.920603,,4537.371651
2642,44655.40493,660.522853,58351898,0.44079,-0.925294,-0.916529,22.2191,0.160812,0.650835,0.200324,0.00200324,-0.000466,0.20011,0.0020011,-0.920964,,4471.3539
2643,44655.40494,660.772853,58351898,0.447556,-0.925188,-0.916397,22.218952,0.161043,0.645294,0.200597,0.00200597,-0.00028,0.200363,0.00200363,-0.920696,,4531.036054
2644,44655.40494,661.022853,58351898,0.452565,-0.925116,-0.91597,22.2191,0.161288,0.653161,0.200651,0.00200651,-0.000559,0.200091,0.00200091,-0.92069,,4562.34026
2645,44655.40494,661.272853,58351898,0.45318,-0.925072,-0.916068,22.219026,0.161404,0.680559,0.200969,0.00200969,-0.000559,0.20058,0.0020058,-0.920471,,4492.938252
2646,44655.40495,661.522853,58351899,0.465699,-0.924914,-0.915707,22.2191,0.161997,0.68762,0.201362,0.00201362,-0.000186,0.200995,0.00200995,-0.920309,,4536.878896
2647,44655.40495,661.772853,58351899,0.46107,-0.924949,-0.915871,22.2191,0.16164,0.652722,0.200982,0.00200982,-0.000466,0.200524,0.00200524,-0.920452,,4600.027582
2648,44655.40495,662.022853,58351899,0.466094,-0.924876,-0.915608,22.2191,0.162014,0.687327,0.201324,0.00201324,-0.000186,0.201231,0.00201231,-0.920206,,4538.808319
2649,44655.40495,662.272853,58351899,0.472375,-0.924757,-0.915378,22.2191,0.162314,0.684043,0.201287,0.00201287,-0.000559,0.200849,0.00200849,-0.920146,,4541.722663
2650,44655.40496,662.522853,58351900,0.474101,-0.924702,-0.91551,22.219173,0.162483,0.681818,0.201384,0.00201384,-0.000186,0.201218,0.00201218,-0.920149,,4530.832729
2651,44655.40496,662.772853,58351900,0.484733,-0.924566,-0.914918,22.2191,0.16292,0.700708,0.20185,0.0020185,-0.000559,0.201365,0.00201365,-0.919896,,4547.204415
2652,44655.40496,663.022853,58351900,0.503284,-0.924295,-0.914491,22.219173,0.163736,0.704676,0.202132,0.00202132,-0.00028,0.20166,0.0020166,-0.919598,,4664.738028
2653,44655.40497,663.272853,58351900,0.497871,-0.92434,-0.914491,22.2191,0.163687,0.730669,0.202336,0.00202336,-0.000653,0.201959,0.00201959,-0.919535,,4609.432454
2654,44655.40497,663.522853,58351901,0.518217,-0.92407,-0.914359,22.2191,0.164397,0.729835,0.202732,0.00202732,-0.000186,0.202212,0.00202212,-0.919156,,4623.799003
2655,44655.40497,663.772853,58351901,0.518044,-0.924066,-0.913669,22.219173,0.164472,0.746089,0.202974,0.00202974,-0.000653,0.202322,0.00202322,-0.919021,,4611.204868
2656,44655.40497,664.022853,58351901,0.510057,-0.92415,-0.914293,22.2191,0.164104,0.743733,0.202611,0.00202611,-0.00028,0.202378,0.00202378,-0.919315,,4662.210825
2657,44655.40498,664.272853,58351901,0.522514,-0.923997,-0.914096,22.2191,0.164645,0.768469,0.203058,0.00203058,-0.000559,0.202689,0.00202689,-0.918971,,4519.338609
2658,44655.40498,664.522853,58351902,0.527487,-0.923875,-0.913669,22.219173,0.165087,0.781455,0.203467,0.00203467,-0.00028,0.203187,0.00203187,-0.918581,,4602.527428
2659,44655.40498,664.772853,58351902,0.519242,-0.923924,-0.913702,22.2191,0.164844,0.755572,0.20334,0.0020334,-0.000559,0.202871,0.00202871,-0.918777,,4719.815902
2660,44655.40499,665.022853,58351902,0.513342,-0.923905,-0.9138,22.219026,0.16477,0.735296,0.202961,0.00202961,-0.00028,0.202681,0.00202681,-0.91903,,4728.637475
2661,44655.40499,665.272853,58351902,0.54461,-0.923567,-0.913012,22.219247,0.165987,0.770504,0.203812,0.00203812,-0.000559,0.203439,0.00203439,-0.918279,,4803.239848
2662,44655.40499,665.522853,58351903,0.556594,-0.923413,-0.912716,22.2191,0.166359,0.80494,0.204039,0.00204039,-0.000373,0.203611,0.00203611,-0.918168,,4536.448164
2663,44655.40499,665.772853,58351903,0.540962,-0.923501,-0.913077,22.219173,0.166002,0.818908,0.204399,0.00204399,-0.000559,0.203818,0.00203818,-0.918013,,4658.284092
2664,44655.405,666.022853,58351903,0.554248,-0.923381,-0.912749,22.2191,0.166489,0.795914,0.204251,0.00204251,-0.000653,0.203598,0.00203598,-0.91804,,4742.066298
2665,44655.405,666.272853,58351903,0.564873,-0.923234,-0.912354,22.219321,0.166914,0.822692,0.20464,0.0020464,-0.000373,0.20422,0.0020422,-0.917824,,4694.250502
2666,44655.405,666.522853,58351904,0.555619,-0.923303,-0.91242,22.219026,0.166619,0.79735,0.204298,0.00204298,-0.000653,0.203747,0.00203747,-0.918189,,4737.400978
2667,44655.40501,666.772853,58351904,0.550541,-0.923313,-0.912617,22.219247,0.166665,0.813962,0.204631,0.00204631,-0.000559,0.204078,0.00204078,-0.917826,,4717.337496
2668,44655.40501,667.022853,58351904,0.577996,-0.9231,-0.911993,22.2191,0.167234,0.82369,0.204691,0.00204691,-0.000373,0.204401,0.00204401,-0.917788,,4645.881237
2669,44655.40501,667.272853,58351904,0.584082,-0.922931,-0.911828,22.219247,0.167843,0.856142,0.20534,0.0020534,-0.000653,0.204714,0.00204714,-0.917322,,4683.784722
2670,44655.40501,667.522853,58351905,0.593085,-0.922837,-0.912025,22.219026,0.168233,0.869738,0.205647,0.00205647,-0.000653,0.205181,0.00205181,-0.916859,,4726.535424
2671,44655.40502,667.772853,58351905,0.588848,-0.922834,-0.911434,22.219321,0.168048,0.851939,0.205504,0.00205504,-0.000373,0.204986,0.00204986,-0.917308,,4698.255269
2672,44655.40502,668.022853,58351905,0.60771,-0.92261,-0.910974,22.219173,0.168847,0.884078,0.205957,0.00205957,-0.000653,0.205461,0.00205461,-0.916883,,4663.113989
2673,44655.40502,668.272853,58351905,0.594226,-0.922697,-0.911237,22.219321,0.168657,0.900373,0.206329,0.00206329,-0.000559,0.20577,0.0020577,-0.916798,,4764.093252
2674,44655.40503,668.522853,58351906,0.601856,-0.922585,-0.911072,22.219026,0.168778,0.862158,0.205873,0.00205873,-0.000559,0.205328,0.00205328,-0.916928,,4787.778965
2675,44655.40503,668.772853,58351906,0.619864,-0.922372,-0.910678,22.219321,0.16948,0.884097,0.206056,0.00206056,-0.000559,0.205404,0.00205404,-0.916776,,4673.499915
2676,44655.40503,669.022853,58351906,0.628629,-0.922237,-0.910612,22.2191,0.169921,0.917194,0.206779,0.00206779,-0.000466,0.20622,0.0020622,-0.916354,,4725.219959
2677,44655.40504,669.272853,58351906,0.61651,-0.922317,-0.910513,22.219394,0.169719,0.899944,0.206624,0.00206624,-0.000559,0.206174,0.00206174,-0.916507,,4697.619048
2678,44655.40504,669.522853,58351907,0.618945,-0.92231,-0.910349,22.2191,0.169634,0.893017,0.206557,0.00206557,-0.000559,0.206015,0.00206015,-0.916434,,4817.877095
2679,44655.40504,669.772853,58351907,0.630191,-0.922139,-0.910086,22.219394,0.170228,0.912916,0.206927,0.00206927,-0.000559,0.206368,0.00206368,-0.916181,,4812.731782
2680,44655.40504,670.022853,58351907,0.633582,-0.922098,-0.910185,22.2191,0.170236,0.911467,0.206912,0.00206912,-0.000466,0.206428,0.00206428,-0.916192,,4833.357357
2681,44655.40505,670.272853,58351907,0.651463,-0.921913,-0.91002,22.219394,0.170866,0.921634,0.207103,0.00207103,-0.000559,0.206515,0.00206515,-0.915815,,4787.160563
2682,44655.40505,670.522853,58351908,0.641201,-0.921988,-0.91002,22.2191,0.17063,0.929453,0.20723,0.0020723,-0.000559,0.206739,0.00206739,-0.915914,,4800.497372
2683,44655.40505,670.772853,58351908,0.657002,-0.921822,-0.909692,22.219394,0.171172,0.94799,0.207455,0.00207455,-0.000653,0.206802,0.00206802,-0.915811,,4768.968656
2684,44655.40506,671.022853,58351908,0.663353,-0.921779,-0.909494,22.219173,0.171335,0.958389,0.207744,0.00207744,-0.000559,0.207184,0.00207184,-0.915567,,4803.959256
2685,44655.40506,671.272853,58351908,0.688606,-0.921451,-0.908673,22.219468,0.172361,0.983226,0.208107,0.00208107,-0.000653,0.207506,0.00207506,-0.915189,,4771.455394
2686,44655.40506,671.522853,58351909,0.683004,-0.921537,-0.908738,22.2191,0.172181,0.992919,0.20843,0.0020843,-0.000653,0.207821,0.00207821,-0.915101,,4798.098104
2687,44655.40506,671.772853,58351909,0.68642,-0.921421,-0.908706,22.219468,0.172421,0.976012,0.208143,0.00208143,-0.000559,0.207677,0.00207677,-0.915199,,4777.106124
2688,44655.40507,672.022853,58351909,0.697265,-0.921261,-0.908443,22.2191,0.172914,1.012052,0.208849,0.00208849,-0.000653,0.208215,0.00208215,-0.914749,,4868.614731
2689,44655.40507,672.272853,58351909,0.697973,-0.921293,-0.908311,22.219394,0.172893,1.014588,0.208928,0.00208928,-0.000559,0.208306,0.00208306,-0.914744,,4760.883778
2690,44655.40507,672.522853,58351910,0.710134,-0.921131,-0.908081,22.219247,0.173368,1.025289,0.209063,0.00209063,-0.000653,0.208411,0.00208411,-0.914565,,4801.607643
2691,44655.40508,672.772853,58351910,0.72205,-0.920924,-0.907818,22.219542,0.17396,1.046709,0.209531,0.00209531,-0.000653,0.208785,0.00208785,-0.914395,,4830.62131
2692,44655.40508,673.022853,58351910,0.720299,-0.920906,-0.907424,22.219247,0.17396,1.048262,0.209514,0.00209514,-0.000653,0.208755,0.00208755,-0.914399,,4789.273276
2693,44655.40508,673.272853,58351910,0.72583,-0.9208,-0.907325,22.219468,0.174349,1.055808,0.209848,0.00209848,-0.000653,0.209102,0.00209102,-0.914063,,4854.126143
2694,44655.40508,673.522853,58351911,0.736555,-0.920684,-0.907161,22.219321,0.174583,1.068046,0.209982,0.00209982,-0.000653,0.209273,0.00209273,-0.914027,,4838.630921
2695,44655.40509,673.772853,58351911,0.735357,-0.92062,-0.907062,22.219542,0.174786,1.056211,0.20988,0.0020988,-0.000746,0.209134,0.00209134,-0.914036,,4856.395482
2696,44655.40509,674.022853,58351911,0.749435,-0.920479,-0.906996,22.219321,0.175133,1.075704,0.210291,0.00210291,-0.000746,0.209545,0.00209545,-0.913765,,4845.188836
2697,44655.40509,674.272853,58351911,0.744704,-0.920509,-0.906766,22.219542,0.175186,1.078328,0.210428,0.00210428,-0.000746,0.209682,0.00209682,-0.913666,,4834.688426
2698,44655.4051,674.522853,58351912,0.747744,-0.92039,-0.906733,22.219247,0.175578,1.09086,0.210525,0.00210525,-0.000653,0.209873,0.00209873,-0.913597,,4849.87966
2699,44655.4051,674.772853,58351912,0.758283,-0.920329,-0.906668,22.219468,0.175777,1.100505,0.210754,0.00210754,-0.000653,0.210078,0.00210078,-0.913382,,4811.526877
2700,44655.4051,675.022853,58351912,0.7486,-0.920346,-0.906668,22.219321,0.175742,1.088474,0.210691,0.00210691,-0.000746,0.210038,0.00210038,-0.913477,,4858.513968
